"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"46","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge & Roesler (2005)",0.462,15,288.15,0.098,1.06795599031224,2.13591198062449
"47","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge & Roesler (2005)",0.291,20,288.15,0.098,1.06795599031224,2.13591198062449
"48","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge & Roesler (2005)",-0.162,25,288.15,0.098,1.06795599031224,2.13591198062449
"49","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge & Roesler (2005)",0.083,5,288.15,0.083,0.83802066406431,1.67604132812862
"50","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge & Roesler (2005)",0.124,10,288.15,0.083,0.83802066406431,1.67604132812862
"51","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge & Roesler (2005)",0.28,15,288.15,0.083,0.83802066406431,1.67604132812862
"52","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge & Roesler (2005)",0.15,20,288.15,0.083,0.83802066406431,1.67604132812862
"53","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge & Roesler (2005)",-0.054,25,288.15,0.083,0.83802066406431,1.67604132812862
"54","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.1,12,293.15,0.1,0.980423211436875,1.96084642287375
"55","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.27,16,293.15,0.1,0.980423211436875,1.96084642287375
"56","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.3,20,293.15,0.1,0.980423211436875,1.96084642287375
"57","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.29,25,293.15,0.1,0.980423211436875,1.96084642287375
"58","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.103279,12,293.15,0.1,0.980423211436875,1.96084642287375
"59","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.266862,16,293.15,0.1,0.980423211436875,1.96084642287375
"60","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.301519,20,293.15,0.1,0.980423211436875,1.96084642287375
"61","Alexandrium minutum-:-Cannon (1993)-:--34.800-:- 138.510","Alexandrium minutum","Cannon (1993)",0.289042,25,293.15,0.1,0.980423211436875,1.96084642287375
"62","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",-0.01,15,304.15,0.263,0.482991299891899,0.965982599783798
"63","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.34,20,304.15,0.263,0.482991299891899,0.965982599783798
"64","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.64,25,304.15,0.263,0.482991299891899,0.965982599783798
"65","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.65,31,304.15,0.263,0.482991299891899,0.965982599783798
"66","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",-0.026,15,304.15,0.263,0.482991299891899,0.965982599783798
