"","Species_original","Species_standardised","Reference","Trait_value","Temperature","unique_id"
"2840","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","Rhodes et al. (1995)",0.58,10," 174.810-36.300Gephyrocapsa oceanicaRhodes et al. (1995)"
"2841","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","Rhodes et al. (1995)",1.03,15," 174.810-36.300Gephyrocapsa oceanicaRhodes et al. (1995)"
"2842","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","Rhodes et al. (1995)",1.18,20," 174.810-36.300Gephyrocapsa oceanicaRhodes et al. (1995)"
"2843","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","Rhodes et al. (1995)",0.94,25," 174.810-36.300Gephyrocapsa oceanicaRhodes et al. (1995)"
"2844","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","Rhodes et al. (1995)",0,30," 174.810-36.300Gephyrocapsa oceanicaRhodes et al. (1995)"
"2845","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0,6," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2846","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.11,10," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2847","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.18,13," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2848","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.24,17," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2849","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.29,21," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2850","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.31,25," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2851","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.25,28," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2852","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.27,29," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2853","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.11,32," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2854","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0,35," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2855","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.114,9.5," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2856","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.183,12.5," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2857","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.239,16.5," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2858","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.289,21," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2859","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.305,24.5," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2860","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.254,27.5," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2861","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.266,29," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2862","Fibrocapsa japonica strain CAWR-19","Fibrocapsa japonica","de Boer et al. (2005)",0.105,32," 174.850-41.270de Boer et al. (2005)Fibrocapsa japonica"
"2863","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.103,15,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2864","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.275,20,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2865","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.282,25,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2866","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.344,30,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2867","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.356,35,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2868","Cylindrospermopsis raciborskii strain ACT-9502","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.184,40,"  17.750 46.850Briand et al. (2004)Cylindrospermopsis raciborskii"
"2869","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",0.37,10," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2870","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",0.62,15," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2871","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",0.93,20," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2872","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",1.12,25," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2873","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",0.07,30," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2874","Thalassiosira pseudonana strain CCMP1011","Thalassiosira pseudonana","Boyd et al. (2013)",0,32," 17.790  64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2875","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.437372,10," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2876","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.474434,10," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2877","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.362031,10," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2878","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.278787,10," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2879","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.344388,10," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2880","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.646555,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2881","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.690056,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2882","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.676532,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2883","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.551728,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2884","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.610106,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2885","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.61922,15," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2886","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.848382,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2887","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.953263,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2888","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.934759,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2889","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.920292,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2890","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.964441,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2891","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",1.00852,20," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2892","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",1.03546,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2893","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.979386,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2894","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",1.22817,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2895","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.957318,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2896","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",1.3524,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2897","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",1.19921,25," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2898","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.0850964,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2899","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.145744,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2900","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",-0.0976907,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2901","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.268828,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2902","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",-0.0442307,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2903","Thalassiosira pseudonana strain CCMP1011, STX97","Thalassiosira pseudonana","Boyd et al. (2013)",0.100404,30," 17.790 -64.820Boyd et al. (2013)Thalassiosira pseudonana"
"2904","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.254,12.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2905","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.44,16.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2906","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.534,20.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2907","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.561,24.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2908","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.591,27.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2909","Planktothrix agardhii","Planktothrix agardhii","Ahlgren (1978)",0.491,27.5,"  17.930 59.470Ahlgren (1978)Planktothrix agardhii"
"2910","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.252306,4,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2911","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.348653,10,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2912","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.302212,14,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2913","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.529564,20,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2914","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.399253,24,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2915","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0.300826,30,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2916","Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C","Haematococcus droebakensis","Moss (1973)",0,32,"  18.550 59.850Haematococcus droebakensisMoss (1973)"
"2917","Chlorella pyrenoidosa","Chlorella pyrenoidosa","Fogg (1987) ",0.331632,10,"  18.830 68.420Chlorella pyrenoidosaFogg (1987) "
"2918","Chlorella pyrenoidosa","Chlorella pyrenoidosa","Fogg (1987) ",0.723142,15,"  18.830 68.420Chlorella pyrenoidosaFogg (1987) "
"2919","Chlorella pyrenoidosa","Chlorella pyrenoidosa","Fogg (1987) ",0.916594,20,"  18.830 68.420Chlorella pyrenoidosaFogg (1987) "
"2920","Chlorella pyrenoidosa","Chlorella pyrenoidosa","Fogg (1987) ",0.877443,25,"  18.830 68.420Chlorella pyrenoidosaFogg (1987) "
"2921","Chlorella pyrenoidosa","Chlorella pyrenoidosa","Fogg (1987) ",0.195755,30,"  18.830 68.420Chlorella pyrenoidosaFogg (1987) "
"2922","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",0.7,8,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2923","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",1.22,15,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2924","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",1.31,22,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2925","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",0.05,28,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2926","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",0.698692,8,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2927","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",1.22479,15,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2928","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",1.3052,22,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2929","Heteromastix pyriformis","Heteromastix pyriformis","Throndsen (1976)",0.051986,28,"  18.980 69.660Heteromastix pyriformisThrondsen (1976)"
"2930","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.25,6," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2931","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.43,9," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2932","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.63,12," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2933","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.93,18," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2934","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",1.21,21," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2935","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",1.09,24," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2936","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.83,27," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2937","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.253692,6," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2938","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.429058,9," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2939","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.625912,12," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2940","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.928124,18," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2941","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",1.21439,21," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2942","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",1.08755,24," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2943","Emiliania huxleyi strain G1779Ga","Pontosphaera huxleyi","Conte et al. (1998)",0.83039,27," -20.000 60.000Conte et al. (1998)Pontosphaera huxleyi"
"2944","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0,5,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2945","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0,7,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2946","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.14,10,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2947","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.26,15,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2948","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.49,20,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2949","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.36,25,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2950","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.140709,10,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2951","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.262703,15,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2952","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.493521,20,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2953","Emiliania huxleyi clone M","Pontosphaera huxleyi","Mjaaland (1956)",0.355585,25,"   2.000 66.000Mjaaland (1956)Pontosphaera huxleyi"
"2954","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.257158,0,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2955","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.291122,2,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2956","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.326472,4,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2957","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.311223,6,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2958","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.0977338,8,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2959","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrï¿½m et al. (2009)",0.0693147,10,"  20.320 58.880Gymnodinium corollariumSundstrï¿½m et al. (2009)"
"2960","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.26,0,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2961","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.29,2,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2962","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.33,4,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2963","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.31,6,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2964","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.1,8,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2965","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","Sundstrom et al. (2009)",0.07,10,"  20.320 58.880Gymnodinium corollariumSundstrom et al. (2009)"
"2966","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0,4,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2967","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0.201706,10,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2968","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0.161503,14,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2969","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0.271021,20,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2970","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0.225273,24,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2971","Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a","Pediastrum boryanum","Moss (1973)",0,30,"  -2.170 54.100Moss (1973)Pediastrum boryanum"
"2972","Synechococcus WH8102","Synechococcus","Mackey et al. (2013)",0,15," 22.495 -65.600Mackey et al. (2013)Synechococcus"
"2973","Synechococcus WH8102","Synechococcus","Mackey et al. (2013)",0.15,18," 22.495 -65.600Mackey et al. (2013)Synechococcus"
"2974","Synechococcus WH8102","Synechococcus","Mackey et al. (2013)",0.49,21," 22.495 -65.600Mackey et al. (2013)Synechococcus"
"2975","Synechococcus WH8102","Synechococcus","Mackey et al. (2013)",0.28,24," 22.495 -65.600Mackey et al. (2013)Synechococcus"
"2976","Synechococcus WH8102","Synechococcus","Mackey et al. (2013)",0,27," 22.495 -65.600Mackey et al. (2013)Synechococcus"
"2977","Cylindrospermopsis raciborskii strain LETC CIRF-01","Cylindrospermopsis raciborskii","Lï¿½rling et al. (2013)",0.4,20,"-22.500 -44.750Cylindrospermopsis raciborskiiLï¿½rling et al. (2013)"
"2978","Cylindrospermopsis raciborskii strain LETC CIRF-01","Cylindrospermopsis raciborskii","Lï¿½rling et al. (2013)",0.74,25,"-22.500 -44.750Cylindrospermopsis raciborskiiLï¿½rling et al. (2013)"
"2979","Cylindrospermopsis raciborskii strain LETC CIRF-01","Cylindrospermopsis raciborskii","Lï¿½rling et al. (2013)",0.81,27.5,"-22.500 -44.750Cylindrospermopsis raciborskiiLï¿½rling et al. (2013)"
"2980","Cylindrospermopsis raciborskii strain LETC CIRF-01","Cylindrospermopsis raciborskii","Lï¿½rling et al. (2013)",0.79,32.5,"-22.500 -44.750Cylindrospermopsis raciborskiiLï¿½rling et al. (2013)"
"2981","Cylindrospermopsis raciborskii strain LETC CIRF-01","Cylindrospermopsis raciborskii","Lï¿½rling et al. (2013)",0.72,35,"-22.500 -44.750Cylindrospermopsis raciborskiiLï¿½rling et al. (2013)"
"2982","Cylindrospermopsis raciborskii LETCCIRF-01","Cylindrospermopsis raciborskii","Soares et al. (2013)",-0.03,12,"-22.500 -44.750Cylindrospermopsis raciborskiiSoares et al. (2013)"
"2983","Cylindrospermopsis raciborskii LETCCIRF-01","Cylindrospermopsis raciborskii","Soares et al. (2013)",0.14,17,"-22.500 -44.750Cylindrospermopsis raciborskiiSoares et al. (2013)"
"2984","Cylindrospermopsis raciborskii LETCCIRF-01","Cylindrospermopsis raciborskii","Soares et al. (2013)",0.6,22,"-22.500 -44.750Cylindrospermopsis raciborskiiSoares et al. (2013)"
"2985","Cylindrospermopsis raciborskii LETCCIRF-01","Cylindrospermopsis raciborskii","Soares et al. (2013)",0.69,27,"-22.500 -44.750Cylindrospermopsis raciborskiiSoares et al. (2013)"
"2986","Cylindrospermopsis raciborskii LETCCIRF-01","Cylindrospermopsis raciborskii","Soares et al. (2013)",0.71,32,"-22.500 -44.750Cylindrospermopsis raciborskiiSoares et al. (2013)"
"2987","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.074,15," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2988","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.32,20," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2989","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.434,25," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2990","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.415,30," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2991","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.443,35," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2992","Cylindrospermopsis raciborskii strain PMC 99.06","Cylindrospermopsis raciborskii","Briand et al. (2004)",-0.108,40," 22.730 -99.800Briand et al. (2004)Cylindrospermopsis raciborskii"
"2993","Cylindrospermopsis raciborskii strain PMC 99.12","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.08,15,"   2.310 48.940Briand et al. (2004)Cylindrospermopsis raciborskii"
"2994","Cylindrospermopsis raciborskii strain PMC 99.12","Cylindrospermopsis raciborskii","Briand et al. (2004)",0.254,20,"   2.310 48.940Briand et al. (2004)Cylindrospermopsis raciborskii"
